GRAPHEME,DESCRIPTION
o,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense voice
o̤,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant spread syllabic tense voice
ø̃ː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
øː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
õː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic tense voice
oː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic tense voice
œ̃,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
œ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
œ̃ː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
œː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense voice
oˤ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal pharyngeal place round sonorant non-spread syllabic tense voice
ɶ̃,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral low nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ɶ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ɶ̃ː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long low nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ɶː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ɔ̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic non-tense voice
ɔ̯,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread non-syllabic non-tense voice
ɔ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic non-tense voice
ɔ̃ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic non-tense voice
ɔː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic non-tense voice
ɵ̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic tense voice
ɵ,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense voice
ɵ̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic tense voice
ɵː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic tense voice
p̪,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-strident non-syllabic non-tense
p,non-approximant non-click consonantal non-continuant non-coronal non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sonorant non-syllabic non-tense
pː,non-approximant non-click consonantal non-continuant non-coronal non-dorsal labial non-laryngeal non-lateral long non-nasal place non-round non-sonorant non-syllabic non-tense
pf,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal labial non-laryngeal non-lateral nasal place non-round non-sibilant sonorant non-strident non-syllabic non-tense
pfʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral nasal place non-round non-sibilant sonorant spread non-strident non-syllabic non-tense non-voice
pfʼ,anterior non-approximant non-click consonantal constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral nasal place non-round non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
pˠ,non-approximant back non-click consonantal non-continuant non-coronal dorsal high labial non-laryngeal non-lateral non-low non-nasal place non-round non-sonorant non-syllabic non-tense
pʰ,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sonorant spread non-syllabic non-tense non-voice
pʰː,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral long non-nasal place non-round non-sonorant spread non-syllabic non-tense non-voice
pʰʲ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant spread non-strident non-syllabic non-tense non-voice
pʲ,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-strident non-syllabic non-tense
pɸ,non-approximant non-click consonantal non-continuant non-coronal non-dorsal labial non-laryngeal non-lateral nasal place non-round sonorant non-syllabic non-tense
pʷ,non-approximant non-click consonantal non-continuant non-coronal non-dorsal labial non-laryngeal non-lateral non-nasal place round non-sonorant non-syllabic non-tense
pʼ,non-approximant non-click consonantal constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sonorant non-spread non-syllabic non-tense non-voice
ɸ,non-approximant non-click consonantal continuant non-coronal non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sonorant non-syllabic non-tense
q,non-approximant back non-click consonantal non-continuant non-coronal dorsal non-high non-labial non-laryngeal non-lateral non-low non-nasal place non-sonorant non-syllabic non-tense
qʰ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant spread non-syllabic non-tense non-voice
qʷ,non-approximant back non-click consonantal non-continuant non-coronal dorsal non-high labial non-laryngeal non-lateral non-low non-nasal place round non-sonorant non-syllabic non-tense
qʷʰ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high labial laryngeal non-lateral non-low non-nasal place round non-sonorant spread non-syllabic non-tense non-voice
qʼ,non-approximant back non-click consonantal constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
qʼʷ,non-approximant back non-click consonantal constricted non-continuant non-coronal dorsal non-high labial laryngeal non-lateral non-low non-nasal place round non-sonorant non-spread non-syllabic non-tense non-voice
qχ,non-approximant back non-click consonantal non-continuant non-coronal dorsal non-high non-labial non-laryngeal non-lateral non-low nasal place sonorant non-syllabic non-tense
r̪̥,anterior approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense non-voice
r̪,anterior approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
r̼,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
r̃,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
r̥,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
r,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
r̩,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
r̪ː,anterior approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
rː,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
rʲ,non-anterior approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
r̪ˤ,anterior approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
rˤ,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
rˤː,anterior approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long non-nasal pharyngeal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ʀ̥,approximant back non-click consonantal non-constricted continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread non-syllabic non-tense non-voice
ʀ,approximant back non-click consonantal non-constricted continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread non-syllabic non-tense voice
ɹ,anterior non-approximant non-consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɹ̩,anterior non-approximant non-consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ɹ̠,non-approximant non-consonantal non-constricted continuant laryngeal non-lateral non-nasal non-place sonorant non-spread non-syllabic non-tense voice
ɺ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɻ,non-anterior non-approximant non-consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɽ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɽʱ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant spread non-strident non-syllabic non-tense voice
ɾ̼,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɾ̥,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
ɾ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɿ,non-anterior approximant back non-consonantal non-constricted continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic tense voice
ʁ̥,non-approximant back non-click consonantal non-constricted continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
ʁ,non-approximant back non-click consonantal non-constricted continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense voice
ʁ̞,non-approximant back non-consonantal non-constricted continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread non-syllabic non-tense voice
s̪,anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place sibilant non-sonorant strident non-syllabic tense
s,anterior non-approximant non-click consonantal continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place sibilant non-sonorant strident non-syllabic non-tense
s̩,anterior non-approximant non-click consonantal continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place sibilant non-sonorant strident syllabic non-tense
sː,anterior non-approximant non-click consonantal continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral long non-nasal place sibilant non-sonorant strident non-syllabic non-tense
s̪ˠ,anterior non-approximant back non-click consonantal continuant coronal distributed dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place sibilant non-sonorant strident non-syllabic tense
sˠ,anterior non-approximant back non-click consonantal continuant coronal non-distributed dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place sibilant non-sonorant strident non-syllabic non-tense
sʲ,non-anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place sibilant non-sonorant strident non-syllabic non-tense
s̪ʲ,non-anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place sibilant non-sonorant strident non-syllabic tense
s̪ʼ,anterior non-approximant non-click consonantal constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic tense non-voice
sʼ,anterior non-approximant non-click consonantal constricted continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
ʂ,non-anterior non-approximant non-click consonantal continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place sibilant non-sonorant strident non-syllabic non-tense
ʃ,non-anterior non-approximant non-click consonantal continuant coronal non-distributed non-laryngeal non-lateral non-nasal non-place sibilant non-sonorant strident non-syllabic non-tense
ʃʲ,non-anterior non-approximant non-click consonantal continuant coronal distributed non-laryngeal non-lateral non-nasal non-place sibilant non-sonorant strident non-syllabic non-tense
ʃʼ,non-anterior non-approximant non-click consonantal constricted continuant coronal non-distributed laryngeal non-lateral non-nasal non-place sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
ʅ,non-anterior approximant non-back non-consonantal non-constricted continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic tense voice
t̪,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic tense
t̼,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal labial non-laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-strident non-syllabic non-tense
t,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
t̠,non-approximant non-click consonantal non-continuant non-laryngeal non-lateral non-nasal non-place non-sonorant non-syllabic non-tense
t̪ː,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral long non-nasal place non-sibilant non-sonorant non-strident non-syllabic tense
tː,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral long non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
tɕ,non-anterior non-approximant non-back non-click consonantal non-continuant coronal non-distributed dorsal high non-labial non-laryngeal non-lateral non-low nasal place sibilant sonorant non-strident non-syllabic tense
tɕː,non-anterior non-approximant non-back non-click consonantal non-continuant coronal non-distributed dorsal high non-labial non-laryngeal non-lateral long non-low nasal place sibilant sonorant non-strident non-syllabic tense
tɕʰ,non-anterior non-approximant non-back non-click consonantal non-constricted non-continuant coronal non-distributed dorsal high non-labial laryngeal non-lateral non-low nasal place sibilant sonorant spread non-strident non-syllabic tense non-voice
t̪ˠ,anterior non-approximant back non-click consonantal non-continuant coronal distributed dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place non-sibilant non-sonorant non-strident non-syllabic tense
t̪ʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic tense non-voice
tʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic non-tense non-voice
t̪ʰː,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic tense non-voice
t̪ʰʲ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic tense non-voice
tʲ,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
t̪ʲ,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic tense
tɬ̪,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal lateral nasal place non-sibilant sonorant non-strident non-syllabic tense
tɬ,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal lateral nasal place non-sibilant sonorant non-strident non-syllabic non-tense
tɬ̪ʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral nasal place non-sibilant sonorant spread non-strident non-syllabic tense non-voice
tɬʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral nasal place non-sibilant sonorant spread non-strident non-syllabic non-tense non-voice
tɬ̪ʼ,anterior non-approximant non-click consonantal constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense non-voice
tɬʼ,anterior non-approximant non-click consonantal constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
t̪ⁿ,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral nasal place non-sibilant non-sonorant non-strident non-syllabic tense
tⁿ,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
ts̪,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral nasal place sibilant sonorant non-strident non-syllabic tense
ts,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral nasal place sibilant sonorant non-strident non-syllabic non-tense
ts̪ː,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral long nasal place sibilant sonorant non-strident non-syllabic tense
tsː,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral long nasal place sibilant sonorant non-strident non-syllabic non-tense
ts̪ʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant sonorant spread non-strident non-syllabic tense non-voice
tsʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant spread non-strident non-syllabic non-tense non-voice
tsʲ,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral nasal place sibilant sonorant non-strident non-syllabic non-tense
ts̪ʲ,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral nasal place sibilant sonorant non-strident non-syllabic tense
ts̪ʼ,anterior non-approximant non-click consonantal constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant non-spread non-strident non-syllabic tense non-voice
tsʼ,anterior non-approximant non-click consonantal constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
tʃ,non-anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-laryngeal non-lateral nasal non-place sibilant sonorant non-strident non-syllabic non-tense
tʃː,non-anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-laryngeal non-lateral long nasal non-place sibilant sonorant non-strident non-syllabic non-tense
tʃʰ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed laryngeal non-lateral nasal non-place sibilant sonorant spread non-strident non-syllabic non-tense non-voice
tʃʲ,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-laryngeal non-lateral nasal non-place sibilant sonorant non-strident non-syllabic non-tense
tʃʷ,non-anterior non-approximant non-click consonantal non-continuant coronal non-distributed labial non-laryngeal non-lateral nasal non-place round sibilant sonorant non-strident non-syllabic non-tense
tʃʼ,non-anterior non-approximant non-click consonantal constricted non-continuant coronal non-distributed laryngeal non-lateral nasal non-place sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
tʃʼː,non-anterior non-approximant non-click consonantal constricted non-continuant coronal non-distributed laryngeal non-lateral long nasal non-place sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
t̪ʷ,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal labial non-laryngeal non-lateral non-nasal place round non-sibilant non-sonorant non-strident non-syllabic tense
tʷ,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal labial non-laryngeal non-lateral non-nasal place round non-sibilant non-sonorant non-strident non-syllabic non-tense
t̪ʷʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place round non-sibilant non-sonorant spread non-strident non-syllabic tense non-voice
tʷʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal labial laryngeal non-lateral non-nasal place round non-sibilant non-sonorant spread non-strident non-syllabic non-tense non-voice
t̪ʼ,anterior non-approximant non-click consonantal constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense non-voice
tʼ,anterior non-approximant non-click consonantal constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
t̪ˤ,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal pharyngeal place non-sibilant non-sonorant non-strident non-syllabic tense
tˤ,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal pharyngeal place non-sibilant non-sonorant non-strident non-syllabic non-tense
tθ,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral nasal place non-sibilant sonorant non-strident non-syllabic tense
ʈ,non-anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
ʈʰ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic non-tense non-voice
ʈʰː,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic non-tense non-voice
ʈʂ,non-anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral nasal place sibilant sonorant non-strident non-syllabic non-tense
ʈʂ’,non-anterior non-approximant non-click consonantal constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
ʈʂː,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long nasal place sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ʈʂʰ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant spread non-strident non-syllabic non-tense non-voice
ȶ,non-approximant non-back non-click consonantal non-continuant non-coronal dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place non-sonorant non-syllabic tense
ʇ̼,anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ũ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic tense voice
u̥,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense non-voice
u,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense voice
ṳ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant spread syllabic tense voice
ũː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic tense voice
uː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic tense voice
ʉ̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic tense voice
ʉ,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense voice
ʉ̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic tense voice
ʉː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic tense voice
ɥ,non-anterior non-approximant non-consonantal non-constricted continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
