GRAPHEME,DESCRIPTION
ɗ,anterior non-approximant consonantal constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
ᶑ,non-anterior non-approximant consonantal constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ȡ,non-approximant non-back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic tense voice
ĕ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral non-long non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
ẽ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
e̯,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
e̥,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense non-voice
e,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
e̤,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant spread non-strident syllabic tense voice
ẽː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
eː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
ə,non-anterior approximant non-click non-consonantal continuant non-coronal distributed dorsal laryngeal non-lateral non-nasal place sonorant syllabic non-tense voice
ɛ̃,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense non-voice
ɛ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense non-voice
ɛ̃ː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense non-voice
ɛː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral long non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic non-tense non-voice
ɘ̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic tense voice
ɘ,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic tense voice
ɘ̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic tense voice
ɘː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic tense voice
ɜ̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic non-tense voice
ɜ,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic non-tense voice
ɜ̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic non-tense voice
ɜː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic non-tense voice
ɞ̞̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral low nasal place round sonorant non-spread syllabic non-tense voice
ɞ̞,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral low non-nasal place round sonorant non-spread syllabic non-tense voice
ɞ̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic non-tense voice
ɞ,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic non-tense voice
ɞ̞̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long low nasal place round sonorant non-spread syllabic non-tense voice
ɞ̞ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long low non-nasal place round sonorant non-spread syllabic non-tense voice
ɞ̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low nasal place round sonorant non-spread syllabic non-tense voice
ɞː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral long non-low non-nasal place round sonorant non-spread syllabic non-tense voice
ɤ̆,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-long non-low non-nasal place sonorant non-spread syllabic tense voice
ɤ̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic tense voice
ɤ̯,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread non-syllabic tense voice
ɤ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic tense voice
