GRAPHEME,DESCRIPTION,PARTIAL,DOLGO,PROSODY
ʛ,voiced uvular implosive plosive consonant,False,K,
ʜ,voiceless pharyngeal trill consonant,False,0,
ʝ,voiced palatal non-sibilant fricative consonant,False,S,
ʟ,voiced velar lateral approximant consonant,False,R,
ʡ,voiceless pharyngeal plosive consonant,False,H,
ʡʢ,voiced epiglottal affricate consonant,False,,
ʡʼ,voiceless pharyngeal ejective plosive consonant,False,,
ʢ,voiced pharyngeal trill consonant,False,0,
β,voiced bilabial fricative consonant,False,P,
θ,voiceless dental non-sibilant fricative consonant,False,T,
θʼ,voiceless dental ejective fricative consonant,False,,
θ̠,voiceless alveolar non-sibilant fricative consonant,False,,
θ̼,voiceless linguo-labial fricative consonant,False,,
χ,voiceless uvular fricative consonant,False,K,
χʼ,voiceless uvular ejective fricative consonant,False,K,
ᶑ,voiced retroflex implosive plosive consonant,False,,
ⱱ,voiced labio-dental flap consonant,False,W,
p̪,voiceless labio-dental plosive consonant,False,P,
b̪,voiced labio-dental plosive consonant,False,P,
