kʷ	21.09590530	-32.26759720	39.37656784	86.55470276
kʷʰ	29.52515984	-34.12781143	25.86978912	100.52932739
kʷː	21.61879349	-33.23858643	40.10417557	87.63243103
kʼ	27.31525040	-63.67258835	28.50854111	131.50387573
kʼʷ	24.04595757	-31.11455917	25.00880432	97.36299133
kː	27.71956444	-61.73602676	44.73099136	120.42941284
l	9.10532093	-72.03088379	-67.79788971	76.52658081
lʱ	6.18376446	-65.26454926	-54.81374741	73.26614380
lʲ	24.16969681	-50.84172821	-74.12890625	70.70271301
lː	9.76771069	-73.89839172	-68.55022430	76.04376221
lˠ	11.15866947	-80.67172241	-70.04980469	75.05281830
l̠	32.62486649	-57.43454361	-48.83332825	73.67417908
l̠ʲ	22.28611565	-45.05553818	-71.50269318	61.65416336
l̥	2.37584043	-65.38278198	-56.37128067	62.25738907
l̩	4.46940517	-71.07992554	-65.22291565	71.27661133
l̪	7.07442093	-54.75917053	-72.30798340	61.74827576
l̪ʲ	19.96167564	-40.02633286	-70.98823547	62.04906464
l̪ː	6.89272404	-55.96793747	-73.40747070	61.61896896
l̪̥	-0.03562719	-45.18947220	-62.63046265	46.10297775
l̪̩	2.89273572	-51.77159119	-70.99709320	54.90917206
l̼	8.41855907	-69.54431915	-65.38568115	75.53766632
m	35.85685730	-109.25900269	16.28335762	106.23030090
mʰ	35.74322510	-99.12389374	19.10809898	95.35896301
mʲ	4.95774078	-106.65720367	2.30946660	104.86534119
mʷ	32.63404846	-76.19287109	14.50744534	75.51553345
mʷː	32.72214890	-78.26009369	14.75398636	76.13328552
mː	35.85007095	-111.25641632	17.54920006	107.30958557
mˠ	37.31697464	-116.28927612	18.73218155	114.98635864
mˤː	35.19959259	-116.03466034	18.87181664	110.77687073
m̥	27.23863602	-94.76834106	31.77009392	99.76681519
m̩	30.10865974	-104.20346069	16.08537292	92.67637634
n	-6.96042347	-125.11853027	-2.70855975	109.20852661
nʲ	4.67171955	-107.89347076	1.91536462	106.47701263
nː	-6.52079868	-127.32139587	-1.88342059	110.06618500
nˤ	-7.30811787	-130.79594421	-2.77979827	110.86491394
n̥	-10.36507511	-112.26566315	5.58177519	99.10205841
n̩	-11.17142391	-118.79942322	-1.58380854	99.19904327
n̪	-9.61084652	-110.21997833	-3.45706820	98.07682037
n̪ˠ	-8.94482517	-118.24165344	-2.17955089	104.26174927
n̼	-6.51283741	-124.36206818	-3.05819869	106.63057709
o	68.41091919	-8.59111786	-78.59164429	-11.59219170
oː	69.32509613	-8.91138840	-79.54109192	-12.31010818
oˤ	70.26611328	-11.12341690	-79.06742859	-11.43896389
õ	56.74261093	-23.48601723	-58.05743790	-24.01021004
õː	56.96605682	-24.96765327	-59.12416840	-25.36261749
ŏ	67.49674225	-8.27084541	-77.64221191	-10.87428474
o̤	62.32215118	-7.80406570	-67.14720154	-11.31411457
o̥	62.55699158	-8.37214851	-65.78257751	-10.33982182
o̯	73.46751404	-7.20265961	-81.56133270	-6.44663811
p	24.25848770	-55.95116043	40.96263123	108.41358185
pf	-14.21614361	-97.85306549	16.49498558	39.60017776
pfʰ	-12.71481037	-104.76681519	5.56453276	53.91236115
pfʼ	-14.03664303	-101.86823273	5.06392431	51.38986588
pɸ	31.32816505	-91.94989777	34.63278961	45.92225647
